,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
0,1,603190,N亚通,41.89,44.0,12.8,25672.0,107368398.0,23.99,41.89,34.91,34.91,29.09,,8.56,33.34,2.63,5026800000.0,1256700000.0,0.0,0.0,44.0,44.0
1,2,688466,金科环境,22.74,20.0,3.79,78421.0,171758457.0,18.52,22.74,19.23,19.23,18.95,6.19,17.0,28.7,2.16,2336762400.0,1049109900.0,0.0,0.0,36.41,50.6
2,3,603518,锦泓集团,8.75,10.06,0.8,241482.0,205114037.0,9.81,8.75,7.97,7.97,7.95,1.59,6.96,31.75,0.99,3038047434.0,3038047434.0,0.0,0.0,24.11,30.6
3,4,600691,阳煤化工,3.61,10.06,0.33,467602.0,164490224.0,10.06,3.61,3.28,3.28,3.28,6.03,1.97,33.58,1.39,8577294847.0,8575865287.0,0.0,0.0,9.39,14.97
4,5,600475,华光环能,11.3,10.03,1.03,384659.0,426775108.0,9.93,11.3,10.28,10.28,10.27,1.51,4.15,16.07,1.43,10666003172.0,10474856711.0,0.0,0.0,8.13,28.56
5,6,600501,航天晨光,18.02,10.01,1.64,415226.0,714490544.0,11.9,18.02,16.07,16.3,16.38,1.12,9.86,133.07,3.49,7783353372.0,7591530472.0,0.0,0.0,48.31,64.12
6,7,601606,长城军工,13.08,10.01,1.19,304659.0,383150868.0,9.92,13.08,11.9,11.92,11.89,2.26,4.21,-449.61,3.77,9472907472.0,9472907472.0,0.0,0.0,17.2,25.77
7,8,603868,飞科电器,81.27,10.0,7.39,26332.0,208499892.0,11.19,81.27,73.0,73.17,73.88,1.05,0.6,35.78,10.57,35401212000.0,35401212000.0,0.0,0.0,9.53,20.7
8,9,605136,丽人丽妆,14.63,10.0,1.33,283703.0,395326732.0,10.68,14.63,13.21,13.23,13.3,3.98,14.47,-113.56,2.26,5858707855.0,2868964228.0,0.0,0.0,17.7,4.65
9,10,603307,扬州金泉,49.17,10.0,4.47,4207.0,20684295.0,0.0,49.17,49.17,49.17,44.7,0.56,2.51,11.76,2.99,3294390000.0,823597500.0,0.0,0.0,58.41,58.41
10,11,600613,神奇制药,9.35,10.0,0.85,650971.0,585723944.0,11.18,9.35,8.4,8.49,8.5,4.48,13.58,67.55,2.14,4993569722.0,4481641794.0,0.0,0.0,-27.74,13.61
11,12,600410,华胜天成,6.93,10.0,0.63,1424858.0,933252908.0,11.43,6.93,6.21,6.31,6.3,2.27,12.99,-19.9,1.67,7598708153.0,7598708153.0,0.0,0.0,21.58,41.72
12,13,603687,大胜达,11.13,9.98,1.01,453639.0,495777278.0,8.89,11.13,10.23,10.3,10.12,1.36,10.81,46.31,2.42,4668659518.0,4668659518.0,0.0,0.0,6.51,29.87
13,14,603040,新坐标,23.85,8.56,1.88,109447.0,259217373.0,9.88,24.17,22.0,22.16,21.97,2.78,8.17,21.54,3.05,3225056840.0,3195640250.0,0.29,0.13,28.02,39.64
14,15,688247,宣泰医药,18.03,8.35,1.39,195565.0,342536056.0,13.22,18.56,16.36,16.75,16.64,4.7,47.8,91.36,7.11,8173720200.0,737605858.0,0.17,0.17,41.19,7.64
15,16,605266,健之佳,92.36,8.1,6.92,40351.0,361681951.0,15.8,93.5,80.0,83.9,85.44,2.75,6.9,35.64,3.82,9158651548.0,5399442813.0,0.03,0.52,5.0,15.35
16,17,601226,华电重工,7.46,6.57,0.46,452446.0,332725805.0,7.71,7.56,7.02,7.03,7.0,1.44,3.92,43.31,2.16,8705894600.0,8616300000.0,-0.67,-0.67,13.2,31.34
17,18,603182,嘉华股份,19.09,6.29,1.13,125487.0,240171652.0,9.8,19.76,18.0,18.0,17.96,3.1,30.5,25.42,3.34,3141259500.0,785362600.0,0.1,0.1,4.6,6.59
18,19,600329,达仁堂,34.9,6.24,2.05,110332.0,382095167.0,8.46,35.3,32.52,32.65,32.85,1.51,1.95,27.77,4.02,26993163352.0,19748795852.0,0.09,0.11,13.09,19.93
19,20,600751,海航科技,2.91,6.2,0.17,2652306.0,776529282.0,7.3,3.01,2.81,2.84,2.74,8.75,10.31,33.68,1.18,8437072949.0,7487980141.0,0.0,0.0,16.4,24.89
20,21,601566,九牧王,8.63,6.15,0.5,139265.0,119784042.0,9.47,8.88,8.11,8.12,8.13,3.75,2.42,-32.23,1.33,4959118605.0,4959118605.0,0.12,0.47,3.98,13.11
21,22,688162,巨一科技,53.44,5.95,3.0,22429.0,118341560.0,7.89,54.0,50.02,50.11,50.44,2.73,4.71,56.65,2.85,7339850400.0,2545659984.0,0.15,0.21,15.55,23.36
22,23,600056,中国医药,16.38,5.81,0.9,1515049.0,2423513015.0,10.34,16.7,15.1,15.3,15.48,3.42,10.13,23.97,2.26,24502510272.0,24493857210.0,0.0,0.06,9.57,-4.93
23,24,600469,风神股份,5.77,5.48,0.3,417672.0,246665051.0,9.14,6.02,5.52,5.52,5.47,5.55,7.45,49.82,1.51,4208931526.0,3235394265.0,0.0,0.17,14.26,23.03
24,25,600259,广晟有色,47.13,5.44,2.43,149621.0,701440122.0,6.51,47.97,45.06,45.06,44.7,2.54,4.54,55.98,4.63,15856224438.0,15528851588.0,-0.04,0.06,6.63,17.24
25,26,688338,赛科希德,46.22,5.21,2.29,22263.0,102544845.0,7.79,47.15,43.73,43.98,43.93,2.25,4.54,36.17,2.51,3773770560.0,2264302871.0,1.27,1.36,25.91,40.1
26,27,605319,无锡振华,16.62,5.19,0.82,61907.0,102585799.0,5.82,16.8,15.88,15.88,15.8,2.02,8.84,55.73,1.87,3324000000.0,1163400000.0,0.06,-0.06,19.23,28.54
27,28,603439,贵州三力,17.59,5.14,0.86,468405.0,820048259.0,11.6,18.34,16.4,16.9,16.73,2.91,28.86,52.17,6.31,7209476379.0,2854568102.0,0.0,-0.17,3.59,28.21
28,29,600100,同方股份,5.94,5.13,0.29,2518825.0,1505829205.0,9.73,6.22,5.67,5.75,5.65,2.45,8.5,-18.13,1.32,19900768415.0,17605559769.0,0.0,-0.17,23.24,37.82
29,30,600242,*ST中昌,1.45,5.07,0.07,166056.0,24060473.0,1.45,1.45,1.43,1.45,1.38,0.95,3.68,-5.74,-16.52,662164427.0,654377090.0,0.0,0.0,-15.2,26.09
30,31,603896,寿仙谷,46.44,5.07,2.24,37167.0,170673077.0,6.99,47.17,44.08,44.21,44.2,2.03,1.88,52.78,5.49,9158123435.0,9158123435.0,0.11,0.28,18.2,17.1
31,32,600671,ST目药,9.39,5.03,0.45,32222.0,30249703.0,1.01,9.39,9.3,9.39,8.94,3.63,2.65,-28.35,73.32,1143503730.0,1142955805.0,0.0,0.0,13.54,-1.26
32,33,601666,平煤股份,11.35,5.0,0.54,717170.0,812436432.0,6.66,11.52,10.8,10.81,10.81,3.11,3.13,4.17,1.27,26277701089.0,26039668889.0,0.0,0.09,-2.91,5.0
33,34,688683,莱尔科技,25.46,4.99,1.21,29451.0,74576830.0,7.51,25.98,24.16,24.25,24.25,1.23,5.37,74.95,4.02,3916688212.0,1395284380.0,-0.78,-0.82,5.38,27.24
34,35,600532,*ST未来,13.89,4.99,0.66,174058.0,235203950.0,7.63,13.89,12.88,13.89,13.23,2.14,3.37,-150.65,4.13,7168152851.0,7168152851.0,0.0,0.0,-30.06,21.1
35,36,603605,珀莱雅,191.09,4.89,8.91,28909.0,550463561.0,8.43,195.35,180.0,180.43,182.18,1.3,1.03,82.04,17.32,54177754249.0,53776465249.0,-0.16,-0.13,14.19,14.1
36,37,688197,首药控股-U,40.75,4.78,1.86,22555.0,91273751.0,7.92,41.63,38.55,38.89,38.89,1.62,6.23,-38.14,4.81,6060313227.0,1474265725.0,0.3,-0.27,49.27,67.83
37,38,605199,葫芦娃,18.11,4.74,0.82,132014.0,236968263.0,9.66,18.79,17.12,17.32,17.29,2.09,14.14,75.6,7.25,7245969499.0,1690401019.0,0.17,0.06,-5.58,13.05
