,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
0,1,300314,戴维医疗,17.5,20.03,2.92,188008.0,315384096.74,16.53,17.5,15.09,15.09,14.58,6.46,9.93,49.74,4.86,5040000000.0,3313695840.0,0.0,0.0,19.86,34.82
1,2,301211,亨迪药业,33.69,16.78,4.84,347868.0,1088681681.43,21.73,34.33,28.06,28.94,28.85,5.83,59.75,77.2,3.63,8085600000.0,1961563831.0,-0.03,0.57,22.73,-2.77
2,3,301301,川宁生物,10.36,14.6,1.32,927424.0,913687341.06,15.15,10.39,9.02,9.02,9.04,3.93,44.33,51.98,3.76,23028208000.0,2167392756.0,0.1,0.68,107.2,15.75
3,4,300922,天秦装备,17.05,13.67,2.05,170364.0,283421959.6,20.47,17.99,14.92,15.03,15.0,4.45,19.87,85.89,3.1,2673630960.0,1461740591.0,0.06,0.24,7.64,24.27
4,5,300039,上海凯宝,9.03,13.02,1.04,2032532.0,1749389537.32,19.02,9.43,7.91,7.99,7.99,2.3,22.18,59.72,2.56,9445380000.0,8276522072.0,0.11,-0.44,32.02,12.03
5,6,300816,艾可蓝,36.22,11.45,3.72,54145.0,191617770.91,13.66,37.29,32.85,33.01,32.5,1.69,7.55,115.38,3.5,2903866060.0,2596888231.0,0.06,0.56,17.71,48.44
6,7,300459,汤姆猫,4.84,10.25,0.45,7813671.0,3612364138.45,14.35,4.96,4.33,4.42,4.39,2.27,26.04,31.88,4.43,17016524945.0,14523790727.0,0.62,1.26,41.94,53.65
7,8,000520,长航凤凰,3.61,10.06,0.33,481187.0,171277766.12,10.06,3.61,3.28,3.28,3.28,4.42,4.75,82.02,6.63,3653621273.0,3653621273.0,0.0,0.0,4.64,10.74
8,9,002877,智能自控,12.16,10.05,1.11,549507.0,630927063.26,11.13,12.16,10.93,11.09,11.05,0.92,26.36,63.07,4.95,4043904052.0,2534728264.0,0.0,0.0,61.7,78.3
9,10,000599,青岛双星,5.04,10.04,0.46,415630.0,205492131.97,9.39,5.04,4.61,4.62,4.58,0.98,5.09,-6.73,1.6,4116634134.0,4116392063.0,0.0,0.0,23.53,20.29
10,11,001260,坤泰股份,22.61,10.02,2.06,2206.0,4988353.86,0.0,22.61,22.61,22.61,20.55,0.23,0.77,42.06,3.4,2600150000.0,650037500.0,0.0,0.0,58.44,58.44
11,12,002425,凯撒文化,6.48,10.02,0.59,1871961.0,1199640138.96,7.81,6.48,6.02,6.48,5.89,5.43,19.58,-61.89,1.26,6199189628.0,6194626619.0,0.0,0.0,24.86,36.42
12,13,002686,亿利达,7.8,10.01,0.71,336332.0,255913528.78,10.01,7.8,7.09,7.09,7.09,0.92,8.59,61.19,2.74,4416665237.0,3055472464.0,0.0,0.0,25.4,33.79
13,14,000756,新华制药,29.58,10.0,2.69,901923.0,2570728737.35,12.57,29.58,26.2,26.91,26.89,4.37,20.47,50.95,4.99,19933593285.0,13032740999.0,0.0,0.0,20.83,-1.73
14,15,001259,利仁科技,31.68,10.0,2.88,36058.0,111659755.12,8.78,31.68,29.15,29.46,28.8,2.75,19.51,42.42,3.2,2331295972.0,585587154.0,0.0,0.0,-1.77,15.41
15,16,002878,元隆雅图,19.48,9.99,1.77,208304.0,393099088.06,11.29,19.48,17.48,17.99,17.71,1.74,10.77,18.43,4.26,4347367983.0,3767101931.0,0.0,0.0,3.62,25.35
16,17,001339,智微智能,34.89,9.99,3.17,456789.0,1529707910.62,8.23,34.89,32.28,32.65,31.72,4.47,73.97,64.89,4.71,8616608850.0,2154457500.0,0.0,0.0,39.0,71.53
17,18,002970,锐明技术,31.92,9.99,2.9,45513.0,145278708.96,0.0,31.92,31.92,31.92,29.02,1.1,4.22,-48.96,3.95,5522032320.0,3440487943.0,0.0,0.0,32.17,65.3
18,19,002728,特一药业,25.65,9.99,2.33,513327.0,1266925525.3,11.49,25.65,22.97,24.0,23.32,2.42,32.12,45.1,5.06,5878397565.0,4098640253.0,0.0,0.0,2.03,13.75
19,20,002719,麦趣尔,12.14,9.96,1.1,178540.0,213072717.62,9.24,12.14,11.12,11.14,11.04,0.9,11.03,-5.02,3.57,2114053008.0,1965129661.0,0.0,0.0,52.32,-27.39
20,21,300069,金利华电,15.58,9.56,1.36,68986.0,108147377.73,22.08,17.06,13.92,13.92,14.22,5.8,5.9,1241.06,6.92,1822860000.0,1822860000.0,0.32,1.04,11.21,24.34
21,22,001255,博菲电气,55.5,9.25,4.7,73936.0,393450213.56,13.78,55.88,48.88,50.8,50.8,0.88,36.97,59.56,6.17,4440000000.0,1110000000.0,1.89,1.85,62.52,65.82
22,23,300434,金石亚药,13.55,9.01,1.12,513234.0,676201081.47,11.5,13.66,12.23,12.35,12.43,3.9,15.46,38.15,2.52,5443629466.0,4498967490.0,0.0,0.07,1.88,-0.44
23,24,002317,众生药业,25.03,8.78,2.02,1204379.0,2898221060.47,12.95,25.29,22.31,22.68,23.01,3.34,17.03,61.47,5.61,20385209832.0,17701601587.0,-0.04,0.08,-33.82,-7.26
24,25,301180,万祥科技,22.12,8.38,1.71,107379.0,231149732.09,10.29,22.35,20.25,20.3,20.41,2.56,19.74,39.03,6.83,8848221200.0,1203549244.0,0.0,0.32,13.2,34.47
25,26,300955,嘉亨家化,29.7,8.16,2.24,38345.0,114319051.31,13.95,31.3,27.47,27.52,27.46,3.71,8.55,46.49,3.1,2993760000.0,1332395104.0,-0.03,0.27,20.49,22.42
26,27,300722,新余国科,33.26,8.13,2.5,117172.0,377716478.11,11.83,33.77,30.13,30.4,30.76,1.78,6.1,88.42,12.14,6392305920.0,6392305920.0,0.0,0.18,16.7,30.07
27,28,300158,振东制药,8.22,7.73,0.59,1586526.0,1259982001.05,12.32,8.4,7.46,7.66,7.63,2.36,15.49,256.0,1.58,8446006105.0,8417757993.0,0.0,0.0,6.48,10.34
28,29,300723,一品红,47.5,7.47,3.3,42118.0,198536009.65,9.3,48.0,43.89,44.33,44.2,2.35,3.19,38.64,7.03,13702926588.0,6279137100.0,0.04,0.4,32.2,37.36
29,30,300577,开润股份,17.0,7.39,1.17,35358.0,58928845.82,7.64,17.05,15.84,15.85,15.83,3.92,2.74,43.79,2.37,4076449584.0,2197664579.0,-0.12,-0.06,2.1,6.65
30,31,301075,多瑞医药,32.48,7.12,2.16,87049.0,276433828.66,13.09,33.38,29.41,29.9,30.32,4.28,31.74,86.66,3.44,2598400000.0,890722718.0,0.09,-0.98,25.31,0.43
31,32,300956,英力股份,19.66,6.96,1.28,154479.0,304077444.76,10.94,20.39,18.38,18.38,18.38,2.45,27.1,84.27,2.36,2595120000.0,1120698286.0,0.1,0.41,27.66,45.41
32,33,300049,福瑞股份,29.64,6.89,1.91,134198.0,393298470.54,11.18,30.5,27.4,27.4,27.73,1.96,5.82,96.24,5.04,7796893884.0,6836609280.0,0.2,0.92,39.15,21.33
33,34,000597,东北制药,6.47,6.77,0.41,995020.0,625693497.47,10.73,6.63,5.98,6.06,6.06,4.4,7.44,54.32,2.15,9280026235.0,8648156174.0,0.0,0.31,13.71,2.54
34,35,300937,药易购,35.92,6.71,2.26,119484.0,421294544.46,16.99,38.0,32.28,32.62,33.66,3.0,29.35,153.61,4.35,3436347217.0,1462543217.0,0.03,0.53,9.88,24.46
35,36,300878,维康药业,27.6,6.48,1.68,81709.0,221030318.09,10.57,28.1,25.36,25.75,25.92,3.05,20.52,31.91,2.76,3996212887.0,1099196882.0,0.04,0.04,-3.02,11.29
36,37,300204,舒泰神,13.0,6.47,0.79,280039.0,356652260.83,7.37,13.02,12.12,12.22,12.21,2.91,5.97,-29.93,4.46,6179648215.0,6101957940.0,0.08,0.54,-11.08,-4.41
37,38,300912,凯龙高科,16.05,6.43,0.97,59720.0,94728004.99,7.82,16.33,15.15,15.15,15.08,1.88,9.7,-16.9,1.82,1797086400.0,988567650.0,0.06,0.06,-11.08,18.8
38,39,300966,共同药业,29.96,6.43,1.81,103608.0,303899291.58,7.85,30.0,27.79,27.83,28.15,3.29,17.54,64.89,4.15,3453698920.0,1770217309.0,0.03,0.07,7.46,10.96
39,40,300898,熊猫乳品,25.02,6.42,1.51,123060.0,307053402.79,9.53,25.81,23.57,23.93,23.51,1.84,23.87,58.89,3.69,3133254600.0,1289857661.0,-0.12,-0.24,38.16,2.33
40,41,300199,翰宇药业,14.21,6.36,0.85,1057461.0,1456100921.99,12.13,14.52,12.9,13.21,13.36,2.26,15.88,-64.13,8.39,12550859385.0,9464340483.0,0.07,0.14,-7.85,-19.17
41,42,002154,报 喜 鸟,4.85,6.36,0.29,370189.0,177757345.86,8.55,4.92,4.53,4.57,4.56,2.0,3.32,13.81,1.83,7077768586.0,5403748697.0,0.0,0.21,30.38,17.72
42,43,002750,龙津药业,13.11,6.07,0.75,463194.0,594104374.51,11.33,13.5,12.1,12.45,12.36,2.92,11.63,-1187.11,8.26,5250555000.0,5220057220.0,0.0,0.0,-15.75,17.79
43,44,002603,以岭药业,32.6,5.98,1.84,1804359.0,5734154101.61,11.74,33.46,29.85,30.47,30.76,2.79,13.11,28.88,5.45,54464995258.0,44857283617.0,0.0,0.18,-25.28,8.81
44,45,301129,瑞纳智能,88.27,5.93,4.94,9038.0,80503268.48,12.0,92.6,82.6,84.44,83.33,4.03,4.91,140.08,4.43,6566405300.0,1625933400.0,0.02,-0.03,22.53,22.99
45,46,300875,捷强装备,38.5,5.91,2.15,59532.0,224916160.8,10.92,39.62,35.65,36.3,36.35,1.77,12.9,-269.29,2.89,3843637914.0,1776739580.0,0.03,0.23,9.56,27.31
46,47,000983,山西焦煤,11.83,5.91,0.66,1417491.0,1664415055.26,7.97,12.06,11.17,11.17,11.17,2.78,3.46,5.56,1.81,61551053804.0,48462304800.0,0.25,0.17,-2.79,1.55
47,48,002762,金发拉比,13.99,5.74,0.76,712643.0,981215305.65,9.83,14.27,12.97,12.97,13.23,1.83,35.43,360.33,5.09,4952809750.0,2813646360.0,0.07,1.75,87.03,49.31
48,49,002274,华昌化工,9.08,5.7,0.49,578569.0,513621457.14,10.36,9.25,8.36,8.41,8.59,3.28,6.17,8.55,1.78,8647470986.0,8517032100.0,0.0,0.11,16.26,24.55
49,50,002206,海 利 得,6.88,5.68,0.37,328828.0,221006259.42,5.53,6.88,6.52,6.53,6.51,3.06,3.61,21.46,2.3,8034169674.0,6259750360.0,0.58,0.58,5.85,15.24
50,51,000529,广弘控股,9.15,5.66,0.49,632556.0,570374524.03,7.74,9.27,8.6,8.68,8.66,2.77,11.1,5.43,1.8,5341681520.0,5214442050.0,0.0,0.11,26.91,4.33
51,52,002950,奥美医疗,13.47,5.65,0.72,143381.0,189210861.06,6.12,13.47,12.69,12.75,12.75,3.25,4.17,32.5,2.93,8530085032.0,4634873375.0,0.07,0.3,6.99,9.96
52,53,002550,千红制药,6.82,5.57,0.36,1122113.0,749159756.96,7.74,6.87,6.37,6.45,6.46,4.22,12.18,24.39,3.66,8728236000.0,6284726530.0,0.0,0.44,10.71,8.95
53,54,300147,香雪制药,6.45,5.56,0.34,827924.0,523508437.39,9.66,6.57,5.98,6.05,6.11,3.49,12.62,-10.71,1.61,4265249840.0,4231936384.0,0.16,0.0,-6.52,6.26
54,55,002727,一心堂,34.15,5.43,1.76,238650.0,815370458.87,12.41,35.4,31.38,31.95,32.39,2.22,5.99,22.54,2.86,20354199964.0,13602583878.0,-0.26,-0.64,-4.07,8.38
55,56,300781,因赛集团,27.28,5.37,1.39,169508.0,456138393.0,10.12,27.95,25.33,25.78,25.89,1.44,21.57,69.74,4.41,2998176919.0,2143556608.0,-0.07,0.29,36.2,56.51
56,57,002424,贵州百灵,8.94,5.3,0.45,1517377.0,1331822239.63,8.01,9.01,8.33,8.55,8.49,2.71,12.64,94.44,3.14,12616128000.0,10734031550.0,0.11,0.34,13.02,9.56
57,58,300813,泰林生物,47.31,5.3,2.38,57287.0,268485502.16,8.77,48.44,44.5,44.66,44.93,3.09,12.76,62.44,7.34,3934675005.0,2124380564.0,0.0,0.06,-23.32,1.83
58,59,300800,力合科技,13.32,5.21,0.66,76631.0,101845372.67,9.0,13.78,12.64,12.64,12.66,5.61,4.56,32.1,1.53,3175488000.0,2240299125.0,0.0,-0.15,-1.55,14.43
59,60,300584,海辰药业,29.87,5.21,1.48,82994.0,245015962.5,9.12,30.5,27.91,28.39,28.39,2.92,12.96,133.86,3.82,3584400000.0,1913031647.0,0.0,0.23,-6.25,-7.24
60,61,002907,华森制药,20.99,5.21,1.04,241590.0,500502926.61,8.82,21.27,19.51,19.91,19.95,3.6,7.99,92.24,5.47,8765346631.0,6343709152.0,-0.14,-0.57,-32.96,3.09
61,62,002349,精华制药,12.95,5.2,0.64,781598.0,995233782.79,8.37,13.2,12.17,12.33,12.31,3.17,9.63,46.83,4.47,10543642759.0,10506099427.0,0.0,0.08,-12.85,7.2
62,63,002946,新乳业,16.54,5.15,0.81,289333.0,476474572.53,8.71,17.04,15.67,15.75,15.73,1.23,3.42,34.65,5.68,14333279959.0,13972918480.0,-1.31,-1.02,39.7,25.02
63,64,300961,深水海纳,11.64,5.15,0.57,87943.0,101426472.41,5.69,11.74,11.11,11.11,11.07,4.15,7.15,87.14,1.95,2063539200.0,1431298271.0,0.09,0.69,0.34,13.67
64,65,300044,赛为智能,4.92,5.13,0.24,1226858.0,584141987.11,7.26,4.94,4.6,4.71,4.68,0.72,18.33,-94.22,3.77,3789193242.0,3292459764.0,0.2,0.41,32.26,73.85
65,66,000703,恒逸石化,8.23,5.11,0.4,601806.0,492852838.86,6.9,8.39,7.85,7.91,7.83,1.53,1.65,17.18,1.11,30173491033.0,30015710206.0,-0.12,0.24,15.43,17.07
66,67,002781,*ST奇信,3.91,5.11,0.19,213970.0,81145391.01,7.8,3.91,3.62,3.62,3.72,0.8,9.56,-3.91,-2.19,879750000.0,875532826.0,0.0,0.0,-51.43,-40.67
67,68,300485,赛升药业,13.75,5.04,0.66,264350.0,357461212.93,7.79,13.97,12.95,13.1,13.09,2.43,9.78,19.66,1.94,6622913000.0,3716001878.0,0.0,0.15,6.42,14.77
68,69,002462,嘉事堂,16.25,5.04,0.78,239423.0,380506618.82,6.79,16.25,15.2,15.45,15.47,2.99,8.23,14.39,1.18,4740240700.0,4730108078.0,0.0,0.37,8.19,12.93
69,70,002875,安奈儿,17.56,5.02,0.84,311976.0,542384733.28,8.13,17.97,16.61,16.68,16.72,2.91,25.47,-18.24,3.72,3734103305.0,2150683301.0,-0.06,0.11,108.55,-33.48
70,71,000560,我爱我家,3.35,5.02,0.16,1292609.0,431105379.05,7.84,3.43,3.18,3.21,3.19,1.28,5.75,-27.02,0.76,7890927851.0,7536865688.0,0.3,0.6,23.62,34.0
71,72,002362,汉王科技,37.8,5.0,1.8,699842.0,2590113942.74,9.58,38.45,35.0,35.8,36.0,1.06,33.83,-152.96,6.23,9240385619.0,7820755589.0,0.37,0.72,136.84,143.4
72,73,002162,悦心健康,5.71,4.96,0.27,1149464.0,648922787.54,9.38,5.88,5.37,5.44,5.44,2.61,12.41,-46.37,4.41,5290315000.0,5288536695.0,0.18,0.35,31.87,26.33
73,74,300948,冠中生态,13.98,4.95,0.66,69855.0,98144547.53,10.06,14.66,13.32,13.32,13.32,5.59,10.03,35.39,2.35,1957339800.0,973846800.0,0.22,0.36,-0.14,13.47
74,75,000752,*ST西发,4.88,4.95,0.23,122486.0,59342589.24,4.09,4.88,4.69,4.69,4.65,1.69,4.64,-22.55,-168.99,1287141436.0,1287141436.0,0.0,0.41,24.49,20.2
75,76,002086,ST东洋,2.76,4.94,0.13,44113.0,12175188.0,0.0,2.76,2.76,2.76,2.63,0.68,0.7,-106.46,5.17,2087526000.0,1738163105.0,0.0,0.0,-4.83,-0.72
76,77,300397,天和防务,10.9,4.91,0.51,282320.0,304102266.34,7.8,11.14,10.33,10.4,10.39,2.04,7.05,-127.83,2.9,5642240521.0,4366541559.0,0.0,0.0,1.49,17.71
77,78,002413,雷科防务,5.17,4.87,0.24,897578.0,462180806.35,9.94,5.42,4.93,4.96,4.93,4.2,7.28,-192.67,1.37,6929583733.0,6375363652.0,0.19,0.19,2.78,16.97
78,79,301333,诺思格,118.93,4.87,5.52,8074.0,95288875.14,8.31,121.48,112.05,112.8,113.41,1.17,5.38,63.83,4.58,7135800000.0,1783950000.0,-0.06,-0.38,54.17,44.44
79,80,002261,拓维信息,9.48,4.87,0.44,3765180.0,3691156178.07,5.09,9.94,9.48,9.8,9.04,2.39,33.74,86.82,3.27,11905246350.0,10579007754.0,-0.11,-1.04,23.92,42.99
80,81,002827,高争民爆,11.43,4.86,0.53,267338.0,305355549.8,9.72,11.99,10.93,11.02,10.9,2.84,9.69,58.97,4.13,3154680000.0,3154680000.0,0.0,1.69,15.11,21.73
81,82,300436,广生堂,39.64,4.84,1.83,86269.0,337936101.16,7.38,39.97,37.18,37.98,37.81,2.85,6.47,-66.23,6.41,6313343880.0,5282257970.0,0.0,0.05,-19.58,1.23
82,83,002576,通达动力,22.49,4.7,1.01,448729.0,995184456.08,8.61,22.85,21.0,21.03,21.48,1.99,27.72,57.2,3.38,3713099000.0,3641193320.0,-0.04,0.22,70.77,91.08
83,84,002328,新朋股份,7.15,4.69,0.32,1099744.0,784162352.51,7.91,7.39,6.85,6.85,6.83,0.91,19.46,19.71,1.82,5518155500.0,4040914706.0,0.0,-0.14,22.85,43.0
84,85,300152,新动力,3.63,4.61,0.16,449727.0,160841779.47,5.48,3.63,3.44,3.45,3.47,1.46,6.31,196.62,5.26,2587464000.0,2586260927.0,0.28,0.28,3.71,8.04
85,86,002991,甘源食品,90.39,4.59,3.97,11387.0,101991699.6,5.5,90.77,86.02,86.77,86.42,2.02,3.13,70.6,5.74,8425778964.0,3291998015.0,-0.08,0.04,14.62,18.48
86,87,002820,桂发祥,10.74,4.58,0.47,268352.0,287176266.4,7.79,11.0,10.2,10.25,10.27,1.2,13.4,-34.88,2.21,2157325488.0,2151604108.0,0.0,0.09,28.01,-21.61
87,88,000923,河钢资源,14.56,4.52,0.63,125487.0,181780758.03,5.31,14.69,13.95,13.97,13.93,2.12,2.0,17.25,1.13,9503733672.0,9142025314.0,-0.07,0.07,31.88,10.72
88,89,300089,*ST文化,2.32,4.5,0.1,479477.0,105945881.5,11.26,2.35,2.1,2.2,2.22,1.04,11.82,-13.83,-3.22,1116051938.0,941054482.0,-0.43,0.0,-35.91,7.91
89,90,003009,中天火箭,46.69,4.45,1.99,43592.0,201420853.88,10.25,48.48,43.9,44.7,44.7,2.73,9.9,50.28,4.73,7255267094.0,2054951422.0,-0.02,0.04,8.89,18.35
90,91,301331,恩威医药,44.25,4.41,1.87,39228.0,171172989.44,7.06,44.99,42.0,42.23,42.38,2.13,22.36,47.07,2.74,3103622386.0,776145000.0,0.11,-0.02,-16.03,11.29
91,92,300484,蓝海华腾,16.89,4.39,0.71,230769.0,391126662.56,9.77,17.5,15.92,16.3,16.18,0.95,14.41,42.21,5.42,3518033301.0,2705317798.0,0.0,0.18,40.4,60.86
92,93,301089,拓新药业,73.89,4.33,3.07,35745.0,260400592.6,5.79,74.2,70.1,70.82,70.82,2.3,4.64,63.78,7.8,9310140000.0,5695518785.0,0.0,0.05,-14.46,2.63
93,94,002182,云海金属,24.19,4.27,0.99,334194.0,802738999.58,6.55,24.45,22.93,22.96,23.2,2.38,6.0,20.25,4.01,15636961194.0,13478422133.0,0.0,0.0,13.94,14.64
94,95,300649,杭州园林,20.39,4.24,0.83,62142.0,126550357.54,6.54,20.88,19.6,19.6,19.56,2.15,6.02,53.31,4.75,2699974658.0,2105704866.0,-0.05,0.05,3.24,10.46
95,96,300740,水羊股份,14.5,4.24,0.59,194451.0,280695767.42,5.68,14.7,13.91,13.96,13.91,1.89,5.47,35.55,3.25,5639609947.0,5155310382.0,0.0,0.14,14.53,-4.1
96,97,300125,聆达股份,22.7,4.22,0.92,135683.0,306203765.86,6.7,23.11,21.65,21.9,21.78,0.85,5.15,-131.57,9.33,6026849887.0,5983037252.0,-0.22,-0.09,-15.96,14.42
97,98,301257,普蕊斯,64.8,4.18,2.6,8202.0,52835272.68,6.4,66.2,62.22,62.23,62.2,0.96,5.47,77.54,4.32,3951180000.0,972000000.0,0.15,0.22,15.32,35.23
98,99,000650,仁和药业,6.73,4.18,0.27,1232091.0,815902764.82,5.57,6.76,6.4,6.42,6.46,3.06,9.18,15.48,1.68,9421584315.0,9033806594.0,-0.15,0.15,-3.86,8.72
99,100,000615,奥园美谷,7.82,4.13,0.31,464693.0,362328058.92,6.79,7.95,7.44,7.49,7.51,1.67,6.1,-48.36,4.49,5966501403.0,5955237459.0,0.0,0.13,26.95,-5.33
100,101,300994,久祺股份,25.01,4.12,0.99,41915.0,103408829.85,4.75,25.15,24.01,24.3,24.02,0.93,6.46,23.69,4.35,4857942400.0,1622648800.0,0.12,0.0,18.08,26.83
101,102,000951,中国重汽,17.18,4.12,0.68,245340.0,419963453.14,7.21,17.59,16.4,16.65,16.5,0.96,2.09,42.41,1.46,20184255605.0,20182649412.0,0.0,0.17,26.42,15.77
102,103,000627,天茂集团,3.54,4.12,0.14,781679.0,276697289.6,6.76,3.63,3.4,3.42,3.4,1.69,1.72,55.2,0.82,17489827244.0,16115864744.0,0.0,0.28,11.32,12.03
